"province_name","age_group","male2011","female2011","male2016","female2016","rate_male","rate_female"
"تهران","15-19",447236,438153,417982,402908,-1.30821311343452,-1.60879875294703
"تهران","20-24",618720,636477,474770,485620,-4.65315490043962,-4.7403755359581
"تهران","25-29",741741,752434,656933,679824,-2.28672811668763,-1.93000316306812
"تهران","30-34",623184,607129,764188,778351,4.52527664381627,5.64038285109095
"تهران","35-39",495964,464014,646446,633394,6.0682630190901,7.30064179098044
"تهران","40-44",449937,436378,500904,475615,2.26551717240414,1.79830330584952
"تهران","45-49",386162,382121,453314,439231,3.47791859375081,2.98910554510221
"تهران","50-54",327863,330539,379532,378511,3.1518652607949,2.9026529395926
"تهران","55-59",253044,252222,312653,319365,4.7113545470353,5.32411922829888
"تهران","60-64",175994,178149,241326,241876,7.42434401172767,7.15434832640093
"تهران","65-69",126846,133585,163162,167941,5.72599845481923,5.1436912827039
"تهران","70-74",101540,95177,115537,116852,2.75694307662005,4.5546718219738
"تهران","75-79",74547,70905,80639,79679,1.63440514038124,2.47486072914463
"تهران","80-84",39925,48265,55354,51544,7.72899185973701,1.35874857557236
"تهران","85-89",19719,23066,23929,25998,4.2699934073736,2.54227000780369
"تهران","90-94",5073,5309,8654,9468,14.1178789670806,15.6677340365417
"تهران","95-99",1256,1253,1337,1738,1.28980891719745,7.7414205905826
"تهران",">100",788,726,201,310,-14.8984771573604,-11.4600550964187
"تهران","unknown",12171,6322,NA,NA,NA,NA
"چهارمحال و بختیاری","0-4",41820,39998,48365,45050,3.13008130081301,2.52612630631532
"چهارمحال و بختیاری","5-9",36597,35332,41620,39866,2.74503374593546,2.56651194384694
"چهارمحال و بختیاری","10-14",35787,35239,36531,35050,0.415793444546902,-0.107267516104316
"چهارمحال و بختیاری","15-19",43802,43804,33444,33267,-4.7294644080179,-4.81097616656013
"چهارمحال و بختیاری","20-24",52082,53116,40216,39547,-4.55666065051265,-5.10919496950072
